cleaned_method,target_block,tokens_in_method
"def _get_error_file(self):
    for error_handler in self._server_configuration.error_handlers or []:
        if not error_handler.error_code or error_handler.error_code == ""default"":
            return os.path.join(
                self._server_configuration.application_root, error_handler.file
            )
    else:
        return None
","if not error_handler . error_code or error_handler . error_code == ""default"" :",98
"def setComboValue(self, combo, value, t=""int""):
    for i in range(combo.count()):
        if t == ""int"" and value == combo.itemData(i):
            combo.setCurrentIndex(i)
            break
        if t == ""str"" and value == combo.itemData(i):
            combo.setCurrentIndex(i)
            break
","if t == ""int"" and value == combo . itemData ( i ) :",96
"def read_isbn(self, f):
    found = []
    for k, v in f.get_subfields([""a"", ""z""]):
        m = re_isbn_and_price.match(v)
        if not m:
            m = re_isbn.match(v)
        if not m:
            continue
        found.append(m.group(1))
    return found
",if not m :,104
"def open(self, name, mode=""r"", buffering=0):
    ap = self.abspath(name)
    self.log(""open {ap} with mode {m}\n"".format(ap=ap, m=mode))
    if ""r"" in mode:
        try:
            reader = ZipReader(self, ap, mode, buffering)
        except:
            raise errors.OperationFailure(""Not found!"")
        else:
            return reader
    elif ""w"" in mode:
        if ap in self.zf.namelist():
            self._update(remove=[ap])
        return ZipWriter(self, ap, mode, buffering)
    else:
        raise errors.OperationFailure(""Unsupported mode!"")
",if ap in self . zf . namelist ( ) :,177
"def chain(nested):
    """"""itertools.chain() but leaves strings untouched""""""
    for i in nested:
        if isinstance(i, (list, tuple)):
            yield from chain(i)
        elif isinstance(i, BlueprintGroup):
            yield from i.blueprints
        else:
            yield i
","if isinstance ( i , ( list , tuple ) ) :",82
"def __init__(self, ref, parent, sortkey, handle, secondary):
    if sortkey:
        self.name = sortkey
        # sortkey must be localized sort, so
        self.sortkey = glocale.sort_key(sortkey)
        if not self.sortkey:
            self.sortkey = glocale.sort_key("""")
    else:
        self.name = """"
        self.sortkey = glocale.sort_key("""")
    self.ref = ref
    self.handle = handle
    self.secondary = secondary
    self.parent = parent
    self.prev = None
    self.next = None
    self.children = []
",if not self . sortkey :,160
"def set_variant(self, variant):
    self.clear()
    if variant is not None:
        if isinstance(variant, Package):
            self.set_package(variant)
            return
        self.set_package(variant.parent)
        if variant.index is not None:
            self.allow_selection = True
            self.selectRow(variant.index)
            self.allow_selection = False
    self.variant = variant
","if isinstance ( variant , Package ) :",116
"def visit_entry(self, node):
    self.entry += 1
    if self.pep_table and self.entry == 2 and len(node) == 1:
        node[""classes""].append(""num"")
        p = node[0]
        if isinstance(p, nodes.paragraph) and len(p) == 1:
            text = p.astext()
            try:
                pep = int(text)
                ref = self.document.settings.pep_base_url + self.pep_url % pep
                p[0] = nodes.reference(text, text, refuri=ref)
            except ValueError:
                pass
","if isinstance ( p , nodes . paragraph ) and len ( p ) == 1 :",168
"def fill_config_with_default_values(config, default_values):
    for section in default_values.keys():
        if not config.has_section(section):
            config.add_section(section)
        for (opt, val) in default_values[section].items():
            if not config.has_option(section, opt):
                config.set(section, opt, f""{val}"")
","if not config . has_option ( section , opt ) :",105
"def _add_embeddings_internal(self, sentences: List[Sentence]):
    if type(sentences) is Sentence:
        sentences = [sentences]
    for embedding in self.embeddings:
        embedding.embed(sentences)
        # iterate over sentences
        for sentence in sentences:
            sentence: Sentence = sentence
            # if its a forward LM, take last state
            if embedding.is_forward_lm:
                sentence.set_embedding(
                    embedding.name,
                    sentence[len(sentence) - 1]._embeddings[embedding.name],
                )
            else:
                sentence.set_embedding(
                    embedding.name, sentence[0]._embeddings[embedding.name]
                )
    return sentences
",if embedding . is_forward_lm :,199
"def remove(files):
    """"""Remove files and directories""""""
    for f in files.split():
        try:
            if os.path.isdir(f) and not os.path.islink(f):
                shutil.rmtree(f)
            else:
                os.remove(f)
        except OSError:
            pass
",if os . path . isdir ( f ) and not os . path . islink ( f ) :,90
"def check_materials():
    for obj in bpy.data.objects:
        if obj.type == ""MESH"":
            if obj.TLM_ObjectProperties.tlm_mesh_lightmap_use:
                for slot in obj.material_slots:
                    mat = slot.material
                    if mat is None:
                        if bpy.context.scene.TLM_SceneProperties.tlm_verbose:
                            print(""MatNone"")
                        mat = bpy.data.materials.new(name=""Material"")
                        mat.use_nodes = True
                        slot.material = mat
                    nodes = mat.node_tree.nodes
","if obj . type == ""MESH"" :",196
"def __cleanup_file(filename):
    data = None
    dirty = False
    with open(filename, mode=""r"", newline="""") as file:
        data = file.read()
        if ""\r\n"" in data:
            data = data.replace(""\r\n"", ""\n"")
            dirty = True
        if ""\r"" in data:
            data = data.replace(""\r"", ""\n"")
            dirty = True
    if dirty:
        new_filename = filename + "".new""
        with open(new_filename, mode=""w"", newline=""\n"") as new_file:
            new_file.write(data)
        os.replace(new_filename, filename)
","if ""\r\n"" in data :",177
"def _ext_service(self, entity_id, typ, service, binding):
    try:
        srvs = self[entity_id][typ]
    except KeyError:
        return None
    if not srvs:
        return srvs
    res = []
    for srv in srvs:
        if ""extensions"" in srv:
            for elem in srv[""extensions""][""extension_elements""]:
                if elem[""__class__""] == service:
                    if elem[""binding""] == binding:
                        res.append(elem)
    return res
","if elem [ ""__class__"" ] == service :",142
"def _set_cache_value(self, key, value, type):
    """"""Used internally by the accessor properties.""""""
    if type is bool:
        if value:
            self[key] = None
        else:
            self.pop(key, None)
    else:
        if value is None:
            self.pop(key, None)
        elif value is True:
            self[key] = None
        else:
            self[key] = value
",if value :,124
"def lngettext(self, msgid1, msgid2, n):
    try:
        tmsg = self._catalog[(msgid1, self.plural(n))]
        if self._output_charset:
            return tmsg.encode(self._output_charset)
        return tmsg.encode(locale.getpreferredencoding())
    except KeyError:
        if self._fallback:
            return self._fallback.lngettext(msgid1, msgid2, n)
        if n == 1:
            return msgid1
        else:
            return msgid2
",if n == 1 :,144
"def colorformat(text):
    if text[0:1] == ""#"":
        col = text[1:]
        if len(col) == 6:
            return col
        elif len(col) == 3:
            return col[0] + ""0"" + col[1] + ""0"" + col[2] + ""0""
    elif text == """":
        return """"
    assert False, ""wrong color format %r"" % text
",elif len ( col ) == 3 :,111
"def TryMerge(self, d):
    while d.avail() > 0:
        tt = d.getVarInt32()
        if tt == 8:
            self.set_source(d.getVarInt32())
            continue
        if tt == 18:
            length = d.getVarInt32()
            tmp = ProtocolBuffer.Decoder(d.buffer(), d.pos(), d.pos() + length)
            d.skip(length)
            self.add_index_spec().TryMerge(tmp)
            continue
        if tt == 0:
            raise ProtocolBuffer.ProtocolBufferDecodeError
        d.skipData(tt)
",if tt == 0 :,169
